Time,In_Moisture,Temp,Water_Absorbed,Samp_15,Samp_16,Samp_17,Samp_18,Samp_19,Samp_20,Samp_21
30,,45,5.444,1,0,0,0,0,0,0
30,,45,5.385,1,0,0,0,0,0,0
45,,45,6.098,1,0,0,0,0,0,0
45,,45,5.972,1,0,0,0,0,0,0
60,,45,6.253,1,0,0,0,0,0,0
60,,45,6.209,1,0,0,0,0,0,0
75,,45,6.312,1,0,0,0,0,0,0
75,,45,6.274,1,0,0,0,0,0,0
90,,45,6.337,1,0,0,0,0,0,0
90,,45,6.296,1,0,0,0,0,0,0
105,,45,6.484,1,0,0,0,0,0,0
105,,45,6.384,1,0,0,0,0,0,0
120,,45,6.44,1,0,0,0,0,0,0
120,,45,6.419,1,0,0,0,0,0,0
30,,45,4.336,0,1,0,0,0,0,0
30,,45,3.534,0,1,0,0,0,0,0
45,,45,5.201,0,1,0,0,0,0,0
45,,45,4.378,0,1,0,0,0,0,0
60,,45,5.464,0,1,0,0,0,0,0
60,,45,4.592,0,1,0,0,0,0,0
75,,45,5.399,0,1,0,0,0,0,0
75,,45,4.616,0,1,0,0,0,0,0
90,,45,5.423,0,1,0,0,0,0,0
90,,45,4.716,0,1,0,0,0,0,0
105,,45,5.627,0,1,0,0,0,0,0
105,,45,4.79,0,1,0,0,0,0,0
120,,45,5.63,0,1,0,0,0,0,0
120,,45,4.827,0,1,0,0,0,0,0
30,,45,4.313,0,0,1,0,0,0,0
30,,45,3.922,0,0,1,0,0,0,0
45,,45,4.996,0,0,1,0,0,0,0
45,,45,4.862,0,0,1,0,0,0,0
60,,45,5.395,0,0,1,0,0,0,0
60,,45,5.367,0,0,1,0,0,0,0
75,,45,5.561,0,0,1,0,0,0,0
75,,45,5.568,0,0,1,0,0,0,0
90,,45,5.728,0,0,1,0,0,0,0
90,,45,5.649,0,0,1,0,0,0,0
105,,45,5.81,0,0,1,0,0,0,0
105,,45,5.764,0,0,1,0,0,0,0
120,,45,5.866,0,0,1,0,0,0,0
120,,45,5.836,0,0,1,0,0,0,0
30,,45,4.345,0,0,0,1,0,0,0
30,,45,4.619,0,0,0,1,0,0,0
45,,45,4.902,0,0,0,1,0,0,0
45,,45,5.042,0,0,0,1,0,0,0
60,,45,5.261,0,0,0,1,0,0,0
60,,45,5.362,0,0,0,1,0,0,0
75,,45,5.384,0,0,0,1,0,0,0
75,,45,5.466,0,0,0,1,0,0,0
90,,45,5.488,0,0,0,1,0,0,0
90,,45,5.523,0,0,0,1,0,0,0
105,,45,5.548,0,0,0,1,0,0,0
105,,45,5.574,0,0,0,1,0,0,0
120,,45,5.646,0,0,0,1,0,0,0
120,,45,5.62,0,0,0,1,0,0,0
30,,45,4.704,0,0,0,0,1,0,0
30,,45,4.625,0,0,0,0,1,0,0
45,,45,5.113,0,0,0,0,1,0,0
45,,45,5.017,0,0,0,0,1,0,0
60,,45,5.375,0,0,0,0,1,0,0
60,,45,5.274,0,0,0,0,1,0,0
75,,45,5.449,0,0,0,0,1,0,0
75,,45,5.384,0,0,0,0,1,0,0
90,,45,5.533,0,0,0,0,1,0,0
90,,45,5.479,0,0,0,0,1,0,0
105,,45,5.569,0,0,0,0,1,0,0
105,,45,5.498,0,0,0,0,1,0,0
120,,45,5.595,0,0,0,0,1,0,0
120,,45,5.51,0,0,0,0,1,0,0
30,,45,4.88,0,0,0,0,0,1,0
30,,45,4.74,0,0,0,0,0,1,0
45,,45,5.371,0,0,0,0,0,1,0
45,,45,5.196,0,0,0,0,0,1,0
60,,45,5.563,0,0,0,0,0,1,0
60,,45,5.414,0,0,0,0,0,1,0
75,,45,5.654,0,0,0,0,0,1,0
75,,45,5.524,0,0,0,0,0,1,0
90,,45,5.7,0,0,0,0,0,1,0
90,,45,5.558,0,0,0,0,0,1,0
105,,45,5.488,0,0,0,0,0,1,0
105,,45,5.837,0,0,0,0,0,1,0
120,,45,5.439,0,0,0,0,0,1,0
120,,45,5.831,0,0,0,0,0,1,0
30,,45,5.102,0,0,0,0,0,0,1
30,,45,5.323,0,0,0,0,0,0,1
45,,45,5.683,0,0,0,0,0,0,1
45,,45,5.845,0,0,0,0,0,0,1
60,,45,5.975,0,0,0,0,0,0,1
60,,45,6.11,0,0,0,0,0,0,1
75,,45,6.096,0,0,0,0,0,0,1
75,,45,6.264,0,0,0,0,0,0,1
90,,45,6.224,0,0,0,0,0,0,1
90,,45,6.383,0,0,0,0,0,0,1
105,,45,6.431,0,0,0,0,0,0,1
105,,45,6.502,0,0,0,0,0,0,1
120,,45,6.484,0,0,0,0,0,0,1
120,,45,6.541,0,0,0,0,0,0,1
30,,60,5.492,1,0,0,0,0,0,0
30,,60,5.4,1,0,0,0,0,0,0
45,,60,5.8,1,0,0,0,0,0,0
45,,60,5.715,1,0,0,0,0,0,0
60,,60,6.008,1,0,0,0,0,0,0
60,,60,6.064,1,0,0,0,0,0,0
75,,60,5.772,1,0,0,0,0,0,0
75,,60,5.889,1,0,0,0,0,0,0
90,,60,6.053,1,0,0,0,0,0,0
90,,60,6.021,1,0,0,0,0,0,0
105,,60,6.146,1,0,0,0,0,0,0
105,,60,6.048,1,0,0,0,0,0,0
120,,60,6.345,1,0,0,0,0,0,0
120,,60,6.218,1,0,0,0,0,0,0
30,,60,5.15,0,1,0,0,0,0,0
30,,60,5.198,0,1,0,0,0,0,0
45,,60,5.498,0,1,0,0,0,0,0
45,,60,5.57,0,1,0,0,0,0,0
60,,60,5.662,0,1,0,0,0,0,0
60,,60,5.876,0,1,0,0,0,0,0
75,,60,5.637,0,1,0,0,0,0,0
75,,60,5.991,0,1,0,0,0,0,0
90,,60,5.804,0,1,0,0,0,0,0
90,,60,5.95,0,1,0,0,0,0,0
105,,60,5.808,0,1,0,0,0,0,0
105,,60,6.085,0,1,0,0,0,0,0
120,,60,6.132,0,1,0,0,0,0,0
120,,60,6.441,0,1,0,0,0,0,0
30,,60,4.342,0,0,1,0,0,0,0
30,,60,4.449,0,0,1,0,0,0,0
45,,60,4.618,0,0,1,0,0,0,0
45,,60,4.874,0,0,1,0,0,0,0
60,,60,4.803,0,0,1,0,0,0,0
60,,60,4.997,0,0,1,0,0,0,0
75,,60,4.959,0,0,1,0,0,0,0
75,,60,5.073,0,0,1,0,0,0,0
90,,60,5.015,0,0,1,0,0,0,0
